variant,class,n_gt,pipeline_AP,v6_ref_AP
full@0.05,Abrasion,408,0.6734437032513283,0.6471
full@0.05,Filling,186,0.2812313249709961,0.2799
full@0.05,Crown,19,0.4215690896820778,0.6313
full@0.05,Caries 1 class,62,0.08927672342455374,0.1195
full@0.05,Caries 2 class,73,0.04645052327910247,0.0845
full@0.05,Caries 3 class,33,0.015171204620462047,0.0116
full@0.05,Caries 4 class,4,0.0,0.0
full@0.05,Caries 5 class,81,0.11126700734798549,0.1097
full@0.05,Caries 6 class,5,0.0,0.0051
full@0.25,Abrasion,408,0.6331333336528167,0.6471
full@0.25,Filling,186,0.2551133464433904,0.2799
full@0.25,Crown,19,0.41967625333962,0.6313
full@0.25,Caries 1 class,62,0.07930022274949693,0.1195
full@0.25,Caries 2 class,73,0.03308485713867381,0.0845
full@0.25,Caries 3 class,33,0.012446958981612445,0.0116
full@0.25,Caries 4 class,4,0.0,0.0
full@0.25,Caries 5 class,81,0.08248133178327549,0.1097
full@0.25,Caries 6 class,5,0.0,0.0051
TPonly@0.05,Abrasion,408,0.7790749559028596,0.6471
TPonly@0.05,Filling,186,0.3112532724070306,0.2799
TPonly@0.05,Crown,19,0.4696212478390699,0.6313
TPonly@0.05,Caries 1 class,62,0.11931286749565406,0.1195
TPonly@0.05,Caries 2 class,73,0.08382214564333897,0.0845
TPonly@0.05,Caries 3 class,33,0.03958038661008958,0.0116
TPonly@0.05,Caries 4 class,4,0.0,0.0
TPonly@0.05,Caries 5 class,81,0.1590571439043614,0.1097
TPonly@0.05,Caries 6 class,5,0.0,0.0051
