epoch,train_loss,val_roi_acc,val_roi_mask_iou
1,1.1618847454388936,0.8335246842709529,0.7617988121085271
2,0.7016686298847199,0.8828932261768083,0.7713361164184991
3,0.5679679620663325,0.8725602755453502,0.7796257617963579
4,0.5006568688551585,0.8656716417910447,0.7939890572452655
5,0.45685195632775627,0.8645235361653272,0.7900503084114854
6,0.403873162706693,0.8771526980482205,0.7996128987773278
7,0.3831064780155818,0.8840413318025259,0.7956921859942676
8,0.3528796289364497,0.886337543053961,0.8019632170860036
9,0.3197932641506195,0.8909299655568312,0.7983574062483182
10,0.2935778297583262,0.8760045924225028,0.7995093429950841
11,0.2855461271007856,0.8897818599311137,0.8052004448445054
12,0.24939320890108743,0.8932261768082663,0.8097974775031842
13,0.23420179923375448,0.8874856486796785,0.7978523267533557
14,0.23866970918575922,0.8978185993111366,0.8076564633339883
15,0.2314352666735649,0.8828932261768083,0.8040911261715106
16,0.2208617909948031,0.894374282433984,0.8076578889183281
17,0.19472147625684738,0.8771526980482205,0.8064353813670669
18,0.19111984052260717,0.9024110218140069,0.8023716130568704
19,0.18234910327196122,0.8932261768082663,0.8074634225716136
20,0.18854813887675603,0.9035591274397244,0.8099681797312267
21,0.16823343803485236,0.9024110218140069,0.8129789536363359
22,0.1672939016620318,0.8909299655568312,0.8117631776461508
23,0.17410926105578742,0.8897818599311137,0.8095622462328484
24,0.16976810355981192,0.8966704936854191,0.8052306618674067
25,0.15956191931168237,0.8737083811710677,0.8042733146457256
26,0.16076880331834156,0.8886337543053962,0.810729858932758
27,0.15823824926217397,0.8909299655568312,0.8123859510629787
28,0.14427812393506367,0.8874856486796785,0.8097838775161761
29,0.15449644388755163,0.9001148105625718,0.8112514640378897
30,0.14031704384088517,0.8920780711825488,0.8070765926698319
